export_name,key,question,context,fieldTitle
CompanyMailAddressStateAbbv,COMPANY_MAIL_ADDRESS_STATE_ABBV,In which state is the mailing address of the company employing you?,Please use the 2-letter abbreviation for the state.,State
CompanyMailAddressZip,COMPANY_MAIL_ADDRESS_ZIP,What is the Zip code of the mailing address of the company employing you?,,Zip code
CompanyMailAddressProvince,COMPANY_MAIL_ADDRESS_PROVINCE,What is the province of the mailing address of the company employing you?,,Province
CompanyMailAddressPostalCode,COMPANY_MAIL_ADDRESS_POSTAL_CODE,What is the postal code of the address of the company employing you?,,Postal code
CompanyMailAddressCountry,COMPANY_MAIL_ADDRESS_COUNTRY,What is the country of the address of the company employing you?,,Country
CompanyMailAddressCount,COMPANY_MAIL_ADDRESS_COUNT,How many mail addresses does the company have?,,
MultiCompanyMailAddressStreet,%(count)s_COMPANY_MAIL_ADDRESS_STREET,What is the street name and number of the address of the company?,,Street name and number
MultiCompanyMailAddressType,%(count)s_COMPANY_MAIL_ADDRESS_TYPE,"Does the mailing address of the company have an Apartment, Suite, or Floor?",,This address is a(n)
MultiCompanyMailAddressAptNumber,%(count)s_COMPANY_MAIL_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the mailing address of the company?",,Number
MultiCompanyMailAddressCity,%(count)s_COMPANY_MAIL_ADDRESS_CITY,What is the city of the address of the company?,,City/town
MultiCompanyMailAddressCounty,%(count)s_COMPANY_MAIL_ADDRESS_COUNTY,What is the county of the address of the company?,,County
MultiCompanyMailAddressStateAbbv,%(count)s_COMPANY_MAIL_ADDRESS_STATE_ABBV,In which state is the mailing address of the company?,Please use the 2-letter abbreviation for the state.,State
MultiCompanyMailAddressZip,%(count)s_COMPANY_MAIL_ADDRESS_ZIP,What is the Zip code of the mailing address of the company?,,Zip code
MultiCompanyMailAddressProvince,%(count)s_COMPANY_MAIL_ADDRESS_PROVINCE,What is the province of the mailing address of the company employing you?,,Province
MultiCompanyMailAddressPostalCode,%(count)s_COMPANY_MAIL_ADDRESS_POSTAL_CODE,What is the postal code of the address of the company employing you?,,Postal code
MultiCompanyMailAddressCountry,%(count)s_COMPANY_MAIL_ADDRESS_COUNTRY,What is the country of the address of the company employing you?,,Country
WorkAddressSameAsCompanyAddress,WORK_ADDRESS_SAME_AS_COMPANY_ADDRESS,Will your employee work primarily at the company's mailing address?,,
WorkAddressStreet,WORK_ADDRESS_STREET,What is the street name and number of the address where the employee will work?,,Street name and number
WorkAddressType,WORK_ADDRESS_TYPE,"Does the address where the employee will work have an apartment, suite, or floor number?",,This address is a(n)
WorkAddressAptNumber,WORK_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the address where the employee will work?",,Apartment/suite/floor number
WorkAddressCity,WORK_ADDRESS_CITY,What is the city of the address where the employee will work?,,City/town
WorkAddressCounty,WORK_ADDRESS_COUNTY,What is the county of the address where the employee will work?,,County
WorkAddressStateAbbv,WORK_ADDRESS_STATE_ABBV,What is the state of the address where the employee will work? Please enter the two-letter abbreviation for your state.,,State
WorkAddressZIP,WORK_ADDRESS_ZIP,What is the ZIP code of the address where the employee will work?,,Zip code
WorkLocationCount,WORK_LOCATION_COUNT,How many work locations will this employee work at?,,Work location count
MultiSelectWorkLocation,%(workLocationCount)s_SELECT_WORK_LOCATION,Select work location,,Select work location
MultiWorkAddressStreet,%(workLocationCount)s_WORK_ADDRESS_STREET,What is the street name and number of the address where you will work?,,Street name and number
MultiWorkAddressType,%(workLocationCount)s_WORK_ADDRESS_TYPE,"Does the address where you will work have an apartment, suite, or floor number?",,This address is a(n)
MultiWorkAddressAptNumber,%(workLocationCount)s_WORK_ADDRESS_APT_NUMBER,"What is the apartment, suite, or floor number of the address where you will work?",,Number
MultiWorkAddressCity,%(workLocationCount)s_WORK_ADDRESS_CITY,What is the city of the address where you will work?,,City or town
MultiWorkAddressCounty,%(workLocationCount)s_WORK_ADDRESS_COUNTY,What is the county of the address where you will work?,,County
MultiWorkAddressStateAbbv,%(workLocationCount)s_WORK_ADDRESS_STATE_ABBV,What is the state of the address where you will work? Please enter the two-letter abbreviation for your state.,,State
MultiWorkAddressZIP,%(workLocationCount)s_WORK_ADDRESS_ZIP,What is the ZIP code of the address where you will work?,,Zip code
MultiWorkAddressPostalCode,%(workLocationCount)s_WORK_ADDRESS_POSTAL_CODE,What is the postal code of the address where you will work?,,Postal code
CompanyName,COMPANY_NAME,What is the full legal name of your company?,,
FutureJobTitle,FUTURE_JOB_TITLE,What is your employee's future job title?,,
EmployerGrossIncome,EMPLOYER_GROSS_INCOME,What is the gross annual income of this business?,"Gross annual income is the amount of money the company earns in one year, before taxes and other deductions are taken out.",Business’ gross annual income
EmployerNetIncome,EMPLOYER_NET_INCOME,What is the net annual income of this business?,Net annual income is the amount of money the company has left after taxes and other deductions have been taken out.,
EmployerVCFunding,EMPLOYER_VC_FUNDING,"How much venture capital funding has this business raised, if any?",,
USArrivalDate,US_LAST_ARRIVAL_DATE,When did you last arrive in the U.S.?,"If you can’t remember, no worries! This information is on your most recent I-94 which you can access via the U.S. Customs and Border Protection website: [https://i94.cbp.dhs.gov/I94/#/recent-search](https://i94.cbp.dhs.gov/I94/#/recent-search)",I-94 Arrival date
I94DepartureDate,I94_DEPARTURE_DATE,When did you last depart?,,I-94 Departure date
USArrivalCity,US_LAST_ARRIVAL_CITY,Which city did you last arrive to in the U.S.?,,
USArrivalState,US_LAST_ARRIVAL_STATE,Which state did you last arrive to in the U.S.?,,
USArrivalTravelDocOrPassport,US_LAST_ARRIVAL_DOC_OR_PASSPORT,Did you use a passport or an alternative travel document when you last arrived to the U.S.?,Provide the number of the passport or travel document used to enter,
USArrivalPassport,US_LAST_ARRIVAL_PASSPORT,What was the passport number of the passport you used when you last arrived in the U.S.?,,
USArrivalTravelDoc,US_LAST_ARRIVAL_TRAVEL_DOC,What was the travel document number you used when you last arrived in the U.S.?,,
USArrivalTravelDocExpireDate,US_LAST_ARRIVAL_DOC_EXPIRE,When is the expiration date of the travel document or passport you used when you last arrived in the U.S.?,,
USArrivalTravelDocOrigin,US_LAST_ARRIVAL_DOC_ORIGIN,What country issued your passport or travel document you used when you last arrived in the U.S.?,,
CurrentPassportSameAsLastArrival,CURRENT_PASSPORT_SAME_LAST_ARRIVAL,Is your current passport different from the passport you used when you last arrived to the U.S.?,,
USArrivalI94Number,US_LAST_ARRIVAL_I94_NUMBER,What is the I-94 Arrival-Departure Record number for this arrival?,You can access your most recent I-94 documentation via the U.S. Customs and Border Protection website: [https://i94.cbp.dhs.gov/I94/#/recent-search](https://i94.cbp.dhs.gov/I94/#/recent-search),I-94 number
USArrivalI94Expiration,US_LAST_ARRIVAL_I94_EXPIRATION,What is the expiration date of your authorized stay for your I-94?,,I-94 expiration
USArrivalI94Status,US_LAST_ARRIVAL_I94_STATUS,What is the status on your I-94?,,I-94 status
PetitionReceiptNumber,PETITION_RECEIPT_NUMBER,What is the receipt number from your most recent petition or application?,"Don't worry if you don't have one or you don't remember, you can continue without filling this in.",
CurrentVisaStatus,CURRENT_VISA_STATUS,What is your current visa status?,,Current visa status
BeneficiaryCurrentVisaStatusExpiry,CURRENT_VISA_STATUS_EXPIRY,When does your current status expire?,"Your status validity dates can be found on your I-797 or I-94 as 'Expiration Date.' In some cases it will be listed as D/S, or 'Duration of Stay.'",Visa expiration
CurrentlyInUS,CURRENTLY_IN_US,Are you currently in the United States?,,
CountryOrNationality,COUNTRY_OR_NATIONALITY,What is your current country of citizenship or your current country of nationality?,,Country of citizenship
AdditionalCountryOrNationality,1_COUNTRY_OR_NATIONALITY,"What is your additional country of citizenship, if applicable?",,Additional country of citizenship
NationalityCount,NATIONALITY_COUNT,How many nationalities do you have?,,
CountCountryOrNationality,%(count)s_COUNTRY_OR_NATIONALITY,What is your %(count)s current country of citizenship or your current country of nationality?,,Country of citizenship or nationality
LaborOrganizationExists,LABOR_ORGANIZATION_EXISTS,Does an appropriate labor organization exist for the petition?,,
P2PremiumProcessing,P2_PREMIUM_PROCESSING,Would you like to submit your case with premium processing?,"With normal processing, USCIS say they will process your case in 2 weeks to 3 months. That’s a wide range, so many P-2 applicants choose to pay for premium processing which guarentees USCIS will process and respond to your case within 15 days. For P-2 visas, the current premium processing fee is $2,500.",
P2AttorneyApproved,P2_ATTORNEY_APPROVED,Is this application ready for bundling?,,Looks good!
P2RequestedActionInUS,REQUESTED_ACTION_IN_US,What would you like to do with this petition?,,
P2ExecutiveOrFounderAtEmployment,EXECUTIVE_OR_FOUNDER_AT_EMPLOYMENT,Are you an executive or founder of the company that will employ you on the P-2?,,
P2OwnsMajorityOfEmployer,OWNS_MAJORITY_OF_EMPLOYER,Do you own more than 50 percent of the company that will employ you on the P-2?,,
LeadAttorneyUploadProfilePicture,PROFILE_PICTURE,Profile picture,,
ProBiography,PRO_BIOGRAPHY,Biography,,Biography
LeadAttorneyCalendlyLink,CALENDLY_LINK,Consultation link,"Setting this will let your clients quickly schedule a time to chat with you. You can use a Calendly, Avoma, or other scheduling link. Leave this blank if you don't want to give your client's access to schedule time with you.",Consultation link
LeadAttorneyLinkedInUrl,LINKED_IN_URL,LinkedIn profile,,LinkedIn profile
LeadAttorneyFaxNumber,FAX_NUMBER,Fax number,,Fax number
CompanyWebsiteLink,WEBSITE_LINK,What’s your company’s website?,,Website
PetitionerIRSTaxNumber,PETITIONER_IRS_TAX_NUMBER,What is the IRS Tax number of your company?,,
PetitionerUSSSN,PETITIONER_US_SSN,"If you have one, what is your organization's United States Social Security Number?",Please provide the Social Security Number of the individual or organization filing this petition.,
BasisForClassification,BASIS_FOR_CLASSIFICATION,Why are you filing this petition?,,
RequestedActionInUS,REQUESTED_ACTION_IN_US,What would you like to do with this petition?,,
ExecutiveOrFounderAtEmployment,EXECUTIVE_OR_FOUNDER_AT_EMPLOYMENT,Are you an executive or founder of the company that will employ you on the O-1?,,
OwnsMajorityOfEmployer,OWNS_MAJORITY_OF_EMPLOYER,Do you own more than 50 percent of the company that will employ you on the O-1?,,
EntertainmentGroup,ENTERTAINMENT_GROUP,Are you filing this petition for an entertainment group?,,
EntertainmentGroupOneYear,ENTERTAINMENT_GROUP_ONE_YEAR,Has anyone you are filing this petition for been a member of the group for less than one year?,,
OfficeType,OFFICE_TYPE,If the beneficiary(ies) named in this petition is/are outside the United States,,Type of office
OfficeCity,OFFICE_CITY,What is the city of the office do you want notified if this petition is approved?,,Office address (city)
OfficeState,OFFICE_STATE,What is the state (or foreign country) of the office you want notified if this petition is approved?,,U.S. state or foreign country
OtherPetitions,OTHER_PETITIONS,Are you filing any other petitions with this one?,,
OtherPetitionsNumber,OTHER_PETITIONS_NUMBER,How many other petitions are you filing with this one?,,How many?
I94Applications,I_94_APPLICATIONS,Are you filing any applications for replacement or initial I-94 Arrival-Departure Records with this petition?,"Note that if you were issued an electronic Form I-94 when you were admitted to the United States at an air or sea port,",
I94ApplicationsNumber,I_94_APPLICATIONS_NUMBER,How many applications for replacement or initial I-94 Arrival-Departure Records are you applying for?,,How many?
DependentsApplications,DEPENDENTS_APPLICATIONS,Are you filing any applications for dependents with this petition?,,
DependentsApplicationsNumber,DEPENDENTS_APPLICATIONS_NUMBER,How many applications for dependents are you filing with this application?,,
DependentFirstName,BENEFICIARY_%(count)s_DEPENDENT_FIRST_NAME,What is your %(count)s dependent's first name?,,First name
DependentRelationship,BENEFICIARY_%(count)s_DEPENDENT_RELATIONSHIP,What is your %(count)s dependent's relationship to you?,,Relation to you
DependentUserRelationship,DEPENDENT_RELATIONSHIP,What is this dependent's relationship to you?,,Relation to you
DependentAge,BENEFICIARY_%(count)s_DEPENDENT_AGE,How old is your %(count)s dependent?,,Age
InviteDependentToFormally,BENEFICIARY_%(count)s_DEPENDENT_INVITE_TO_FORMALLY,Would you like to invite this dependent to fill out their own information on Formally?,,Would you like to invite this dependent to fill out their own information on Formally?
DependentEmail,BENEFICIARY_%(count)s_DEPENDENT_EMAIL,What is your %(count)s dependent's email?,,Email
LCAOrETACaseNumber,LCA_ETA_CASE_NUMBER,What is the LCA or ETA Case Number of the proposed employment?,"This can be found on the bottom of each page of the Labor Condition Application, if you have one.",
HasPetitionItinerary,HAS_PETITION_ITINERARY,Do you have an itinerary to include with this petition?,"A petition filed by an agent must include a complete itinerary of services or engagements, including dates, names, and addresses of the actual employers, and the locations where the services will be performed.",
PetitionItineraryDoc,PETITION_ITINERARY_DOC,Upload the itinerary for this petition,A stellar itinerary includes: - Employment dates - Names of employer and employee - Employer addresses - Employment addresses - Information on any other services planned for the period of time requested,
WorkOffsite,WORK_OFFSITE,Will your employee work primarily offsite?,"For example, if this position be primarily based at a worksite of a company or organization other than this employer or its affiliate, branch, subsidiary, or parent company, then select ‘Yes’ here.",
PersonalWorkOffsite,PERSONAL_WORK_OFFSITE,Will you work for your employer off-site at another company or organization's location?,,
WorkOffsiteExplainSuperviser,WORK_OFFSITE_EXPLAIN_SUPERVISER,Describe how the beneficiary(ies)'s work will be supervised.,,
WorkOffsiteExplain,WORK_OFFSITE_EXPLAIN,"Explain why it is necessary for your employee to work off-site. subsidiary, affiliate, or parent is needed. Include a description of how the employee's duties at another worksite relate to the need for the specialized knowledge they possess.",,
ExclusivelyCNMI,EXCLUSIVELY_CNMI,Will your employee work exclusively in the Commonwealth of the Northern Mariana Islands (CNMI)?,,
PersonalExclusivelyCNMI,EXCLUSIVELY_CNMI,Will you work exclusively in the Commonwealth of the Northern Mariana Islands (CNMI)?,,
FullTime,FULL_TIME,Is this a full-time position?,"Usually, full-time is considered around 30 to 40+ hours/week, depending on employer.",
PermanentPosition,PERMANENT_POSITION,Is this a permanent position?,,
NewPosition,NEW_POSITION,Is this a new position?,,
NumberOfHours,NUMBER_OF_HOURS,How many hours per week are required for this position?,,Hours per week
WageInterval,WAGE_INTERVAL,"Please specify whether the wages for the proposed position are paid per hour, week, month, or year?",,Per time frame
Wages,WAGES,What is the wage paid in US Dollars at the specified interval?,,Wage
OtherCompensation,OTHER_COMPENSATION,"If any other forms of compensation are provided for the proposed employment, please explain.",,Other compensation (please explain)
EmploymentStartDate,EMPLOYMENT_START_DATE,What is the start date of the proposed employment?,,Start date
EmploymentEndDate,EMPLOYMENT_END_DATE,What is the end date of the proposed employment?,,End date
CompanyType,COMPANY_TYPE,What type of business is your company?,"(e.g., Construction, Technology, Software Development, etc.)",
DateEstablished,DATE_ESTABLISHED,When was the business established?,,
CurrentNumberOfEmployees,CURRENT_NUMBER_OF_EMPLOYEES,How many employees do you have in the United States?,,
GrossIncome,GROSS_INCOME,What is the gross annual income of the business intending to employ the beneficiary(ies) specified in this petition?,,
NetIncome,NET_INCOME,What is the gross net income of the business intending to employ the beneficiary(ies) specified in this petition?,,
TechnologyLicenseRequired,TECHNOLOGY_LICENSE_REQUIRED,Having reviewed the Export Aministration Regulations (EAR) and the International Traffic in Arms Regulations (ITAR),By selecting 'Yes' you are confirming that you (the petitioner) will prevent acess to the controlled technology or technical data,
PremiumProcessing,PREMIUM_PROCESSING,Would you like to submit your case with premium processing?,"With normal processing, USCIS say they will process your case in 2 weeks to 3 months. That’s a wide range, so many O-1 applicants choose to pay for premium processing which guarentees USCIS will process and respond to your case within 15 days. For O-1 visas, the current premium processing fee is $2,500.",
BeneficiaryFirstName,FIRST_NAME,What is your first name?,,First Name
BeneficiaryMiddleName,MIDDLE_NAME,What is your middle name?,,Middle Name
BeneficiaryPreferredName,98e1aa6e-f379-41c5-b6ec-489291dbd774_What_do_you_prefer_to_be_called,What is your preferred name?,,Preferred Name
BeneficiaryLastName,LAST_NAME,What is your last name(s)?,,Last Name(s)
BeneficiaryNameTelecode,NAME_TELECODE,Do you have a telecode that represents your name?,,Telecode
BeneficiaryInternalID,BENEFICIARY_INTERNAL_ID,Do you have an internal id at your attorney's law firm?,,Internal ID
BirthDate,BIRTH_DATE,What is your date of birth?,"If you aren't sure of your birth date, and you aren't able to locate documents showing it, you can",Date of birth
Gender,GENDER,What is your gender?,"We know gender isn't binary, so if you would like to provide a supplement amending this statement on your form, you can.",Gender
Pronouns,PRONOUNS,What are your pronouns?,,Pronouns
PassportGender,PASSPORT_GENDER,What is your gender as it appears on your passport?,,
PassportGenderOtherDerscriptor,PASSPORT_GENDER_OTHER,What is your gender as it appears on your passport?,Other,
MaritalStatus,MARITAL_STATUS,What is your marital status?,"This refers to your legal relationship status, not your current living situation.",Marital Status
MarriageDate,DATE_MARRIAGE,When were you married?,,Marriage Date
MarriagePlace,PLACE_MARRIAGE,Where were you married?,,Marriage Place
CivilUnionDate,CIVIL_UNION_DATE,When were you joined in a civil union or domestic partnership?,,
CivilUnionCity,CIVIL_UNION_CITY,In what city were you joined in a civil union / domestic partnership?,,
CivilUnionState,CIVIL_UNION_STATE,In what state or province were you joined in a civil union / domestic partnership?,,
CivilUnionCountry,CIVIL_UNION_COUNTRY,In what country were you joined in a civil union / domestic partnership?,,
BirthCity,BIRTH_CITY,"In which city, town, or village were you born?",,"Birth city, town, or village"
BirthState,BIRTH_STATE,In which state or province were you born?,,Birth state or province
BirthCountry,BIRTH_COUNTRY,In which country were you born?,,Birth country
BirthProvince,BIRTH_PROVINCE,In which province were you born?,,Birth Province
BeneficiaryDayPhone,DAY_PHONE,What is your daytime telephone number?,,Daytime telephone number
DayPhoneCountryCode,DAY_PHONE_COUNTRY_CODE,What is your daytime telephone number country code?,,Mobile telephone number
DayPhoneAreaCode,DAY_PHONE_AREA_CODE,What is the area code of your daytime telephone number?,,Daytime phone area code
DayPhonePrefix,DAY_PHONE_PREFIX,What is the prefix of your daytime telephone number?,,Daytime phone prefix
DayPhoneLineNumber,DAY_PHONE_LINE_NUMBER,What is the line number of your daytime telephone number?,,Daytime phone line number
BeneficiaryWorkPhone,WORK_PHONE,What is your work telephone number?,,Work telephone number
WorkPhoneCountryCode,WORK_PHONE_COUNTRY_CODE,What is your work telephone number country code?,,Work telephone number country code
WorkPhoneAreaCode,WORK_PHONE_AREA_CODE,What is the area code of your work telephone number?,,Work phone area code
WorkPhonePrefix,WORK_PHONE_PREFIX,What is the prefix of your work telephone number?,,Work phone prefix
WorkPhoneLineNumber,WORK_PHONE_LINE_NUMBER,What is the line number of your work telephone number?,,Work phone line number
BeneficiaryEveningPhone,EVENING_PHONE,What is your evening telephone number?,,Evening telephone number
LeadAttorneyDayPhone,DAY_PHONE,What is your daytime telephone number?,,Daytime telephone number
BeneficiaryMobilePhone,MOBILE_PHONE,"What is your mobile telephone number, if you have one?",,Mobile telephone number
LeadAttorneyMobilePhone,MOBILE_PHONE,"What is your mobile telephone number, if you have one?",,Mobile telephone number
MobilePhoneCountryCode,MOBILE_PHONE_COUNTRY_CODE,What is your mobile telephone number country code?,,Mobile telephone number
MobilePhoneAreaCode,MOBILE_PHONE_AREA_CODE,What is the area code of your mobile telephone number?,,Mobile phone area code
MobilePhonePrefix,MOBILE_PHONE_PREFIX,What is the prefix of your mobile telephone number?,,Mobile phone prefix
MobilePhoneLineNumber,MOBILE_PHONE_LINE_NUMBER,What is the line number of your mobile telephone number?,,Mobile phone line number
Email,EMAIL,"What is your e-mail address, if you have one?",,Email address
BeneficiaryEmail,EMAIL,"What is your e-mail address, if you have one?",,Email address
SecondaryEmail,SECONDARY_EMAIL,"What is your secondary e-mail address, if you have one?",,Secondary email address
LeadAttorneyEmail,EMAIL,"What is your e-mail address, if you have one?",,Email address
EnglishUnderstand,ENGLISH_UNDERSTAND,"I certify that I can read and understand English, and I have read and understood every question and instruction on this application and my answer to every question.","If you select no, you will be asked to enter the details of the",
OtherNames,OTHER_NAMES,Have you ever used any other names?,"Provide all other names you have ever used to travel, including aliases, maiden name, and nicknames.",
NumberOtherNames,NUM_OTHER_NAME,How many other names have you used?,,
OtherNamesList,OTHER_NAMES_LIST,"Have you used any other names? If so, provide them here. Include maiden name and aliases.",If you have a different name when travelling make sure to start using you real name in this,
